# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

moduleLoadQueueEntry	moduleLoadQueueEntry	module.c	84	3	sds:path; int:argc; robj **:argv	TODO(architect): assign canonical Rust type
ValkeyModuleInfoCtx	ValkeyModuleInfoCtx	module.c	90	6	struct ValkeyModule *:module; dict *:requested_sections; sds:info; int:sections; int:in_section; ...	TODO(architect): assign canonical Rust type
ValkeyModuleSharedAPI	ValkeyModuleSharedAPI	module.c	103	2	void *:func; ValkeyModule *:module	TODO(architect): assign canonical Rust type
AutoMemEntry	AutoMemEntry	module.c	113	2	void *:ptr; int:type	TODO(architect): assign canonical Rust type
ValkeyModulePoolAllocBlock	ValkeyModulePoolAllocBlock	module.c	142	4	uint32_t:size; uint32_t:used; struct ValkeyModulePoolAllocBlock *:next; char:memory	TODO(architect): assign canonical Rust type
ValkeyModuleCtx	ValkeyModuleCtx	module.c	160	16	void *:getapifuncptr; struct ValkeyModule *:module; client *:client; struct ValkeyModuleBlockedClient *:blocked_client; struct AutoMemEntry *:amqueue; ...	TODO(architect): assign canonical Rust type
ValkeyModuleCommand	ValkeyModuleCommand	module.c	254	3	struct ValkeyModule *:module; ValkeyModuleCmdFunc:func; struct serverCommand *:serverCmd	TODO(architect): assign canonical Rust type
ValkeyModuleAuthCtx	ValkeyModuleAuthCtx	module.c	272	2	struct ValkeyModule *:module; ValkeyModuleAuthCallback:auth_cb	TODO(architect): assign canonical Rust type
ValkeyModuleBlockedClient	ValkeyModuleBlockedClient	module.c	279	14	client *:client; ValkeyModule *:module; ValkeyModuleCmdFunc:reply_callback; ValkeyModuleAuthCallback:auth_reply_cb; ValkeyModuleCmdFunc:timeout_callback; ...	TODO(architect): assign canonical Rust type
ValkeyModuleKeyspaceSubscriber	ValkeyModuleKeyspaceSubscriber	module.c	334	4	ValkeyModule *:module; ValkeyModuleNotificationFunc:notify_callback; int:event_mask; int:active	TODO(architect): assign canonical Rust type
ValkeyModulePostExecUnitJob	ValkeyModulePostExecUnitJob	module.c	346	4	ValkeyModule *:module; ValkeyModulePostNotificationJobFunc:callback; void *:pd; int:dbid	TODO(architect): assign canonical Rust type
ValkeyModuleDict	ValkeyModuleDict	module.c	362	1	rax *:rax	TODO(architect): assign canonical Rust type
ValkeyModuleDictIter	ValkeyModuleDictIter	module.c	366	2	ValkeyModuleDict *:dict; raxIterator:ri	TODO(architect): assign canonical Rust type
ValkeyModuleCommandFilterCtx	ValkeyModuleCommandFilterCtx	module.c	371	4	ValkeyModuleString **:argv; int:argv_len; int:argc; client *:c	TODO(architect): assign canonical Rust type
ValkeyModuleCommandFilter	ValkeyModuleCommandFilter	module.c	380	3	ValkeyModule *:module; ValkeyModuleCommandFilterFunc:callback; int:flags	TODO(architect): assign canonical Rust type
ValkeyModuleServerInfoData	ValkeyModuleServerInfoData	module.c	399	1	rax *:rax	TODO(architect): assign canonical Rust type
ValkeyModuleEventListener	ValkeyModuleEventListener	module.c	415	3	ValkeyModule *:module; ValkeyModuleEvent:event; ValkeyModuleEventCallback:callback	TODO(architect): assign canonical Rust type
ValkeyModuleUser	ValkeyModuleUser	module.c	432	2	user *:user; int:free_user	TODO(architect): assign canonical Rust type
